,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad,Concentration
7,3.2487409888216344e-07,-3.880097617970814e-07,6.734677033590543e-07,-1.0669667936304992e-06,-7.90083284626502e-07,-1.0556665362854527e-06,1.9448861373971923e-09,1.886498104449282e-10,0.002
0,0.36029708333333327,0.5856854166666666,0.4515404166666667,0.32638083333333334,0.41945875,0.47465874999999996,0.00163720096969495,-9.822419466941176e-06,0.02
0,0.038948538004166665,-0.028954628835688407,0.008881830801268111,0.008065220341666667,0.0038783177657608714,-0.0016278726429347818,-5.11575812017142e-05,8.463635711554817e-07,0.02
1,-0.028954628835688407,0.030781541243297107,-0.006635220567572463,-0.0022810837525362357,-0.007349761049456523,-0.0006001719842391313,1.1041368472130669e-05,-8.57828459789013e-07,0.02
2,0.008881830801268111,-0.006635220567572463,0.01165122203025362,-0.021317726256884054,-0.002839718929891304,-0.001673771269021739,3.645949473680714e-05,1.9494637958687003e-06,0.02
3,0.008065220341666667,-0.0022810837525362357,-0.021317726256884054,0.09345758356449273,0.006312399735869565,0.009824212253260871,-0.00011646433961210226,-4.783211723563672e-06,0.02
4,0.0038783177657608714,-0.007349761049456523,-0.002839718929891304,0.006312399735869565,0.023954182733152172,0.0031747513331521733,-5.412534780775698e-06,1.4109108506668565e-08,0.02
5,-0.0016278726429347818,-0.0006001719842391313,-0.001673771269021739,0.009824212253260871,0.0031747513331521733,0.008218990924456522,-4.817731169967997e-06,-4.3370910158754817e-07,0.02
6,-5.11575812017142e-05,1.1041368472130669e-05,3.645949473680714e-05,-0.00011646433961210226,-5.412534780775698e-06,-4.817731169967997e-06,9.1512019686326e-07,9.480824077616148e-09,0.02
7,8.463635711554817e-07,-8.57828459789013e-07,1.9494637958687003e-06,-4.783211723563672e-06,1.4109108506668565e-08,-4.3370910158754817e-07,9.480824077616148e-09,4.781017124414726e-10,0.02
0,0.3353486956521739,0.5509773913043479,0.5272417391304348,0.0653608695652174,0.3731217391304348,0.48357347826086966,0.0016914869868604435,1.1655833160759021e-05,0.04
0,0.013192793875494073,-0.01168356565355731,0.008926970188735176,0.003050243287549406,0.004011349734189723,0.01543979135474308,-3.676390094612434e-05,7.650612174749358e-08,0.04
1,-0.01168356565355731,0.027080386247430827,-0.0071018523498023725,-0.004059071615810275,-0.006301996927075098,-0.015029237304150195,4.1139533652798106e-05,-2.568141738978392e-07,0.04
2,0.008926970188735176,-0.0071018523498023725,0.00809957413320158,0.0011837502802371544,-0.00047196094861660107,0.011381760975494074,-2.813898582915542e-05,-2.0144887595572565e-08,0.04
3,0.003050243287549406,-0.004059071615810275,0.0011837502802371544,0.002752403635573122,0.0035158880075098816,0.0023860517877470353,-5.0962565139733196e-06,6.317972167060714e-08,0.04
4,0.004011349734189723,-0.006301996927075098,-0.00047196094861660107,0.0035158880075098816,0.01511209102411067,0.0025969004936758893,1.3764762760382585e-05,2.405024844704962e-07,0.04
5,0.01543979135474308,-0.015029237304150195,0.011381760975494074,0.0023860517877470353,0.0025969004936758893,0.029262763460079055,-3.326251716350737e-05,-4.9035422299217384e-08,0.04
6,-3.676390094612434e-05,4.1139533652798106e-05,-2.813898582915542e-05,-5.0962565139733196e-06,1.3764762760382585e-05,-3.326251716350737e-05,3.452580718200007e-07,3.253656137718567e-10,0.04
7,7.650612174749358e-08,-2.568141738978392e-07,-2.0144887595572565e-08,6.317972167060714e-08,2.405024844704962e-07,-4.9035422299217384e-08,3.253656137718567e-10,2.650509150519141e-11,0.04
0,0.369436956521739,0.5784100000000001,0.5344543478260869,0.1522082608695652,0.40921391304347826,0.46739695652173924,0.0033621122257828434,6.457313184637054e-06,0.1
0,0.015819952276679844,-0.005517106440909091,0.007784694786561266,0.012339883703557314,0.001284127957905138,-0.0005829802324110682,-8.114600106181349e-05,2.59888813650358e-07,0.1
1,-0.005517106440909091,0.008087733790909091,-0.003639230531818182,-0.007227716309090909,-0.0023513549590909078,-0.0026442632000000022,5.525203692731769e-05,-1.0688726023006513e-07,0.1
2,0.007784694786561266,-0.003639230531818182,0.007162739516600793,0.007082031907905137,0.0023907914685770745,0.0025232090956521748,-6.269577197484675e-05,1.4800211843228923e-07,0.1
3,0.012339883703557314,-0.007227716309090909,0.007082031907905137,0.01788025431501977,0.003898730570750988,0.0036490293990118577,-6.229950787684282e-05,-5.467783567075158e-08,0.1
4,0.001284127957905138,-0.0023513549590909078,0.0023907914685770745,0.003898730570750988,0.0068674333339920944,0.0018657700124505932,-1.651984728392561e-05,-3.199482930574541e-08,0.1
5,-0.0005829802324110682,-0.0026442632000000022,0.0025232090956521748,0.0036490293990118577,0.0018657700124505932,0.022365568840316208,-9.880722402845048e-06,-8.33090327965231e-08,0.1
6,-8.114600106181349e-05,5.525203692731769e-05,-6.269577197484675e-05,-6.229950787684282e-05,-1.651984728392561e-05,-9.880722402845048e-06,2.194556808853789e-06,-2.2380918845366524e-09,0.1
7,2.59888813650358e-07,-1.0688726023006513e-07,1.4800211843228923e-07,-5.467783567075158e-08,-3.199482930574541e-08,-8.33090327965231e-08,-2.2380918845366524e-09,1.7061019425613238e-11,0.1
0,0.33981681818181814,0.5841654545454547,0.49950545454545464,0.2337327272727273,0.4823377272727272,0.503855909090909,0.004663903174096319,6.918385263234677e-07,0.2
